0,0,0,0,0,0,0,4.2633e-14,-1.7764e-15,3.5527e-15,3.5527e-14,-2.2204e-16,3.5527e-15,-3.3307e-15,-2.6368e-16,1.8379e-15,1.1102e-15,6.6613e-16,1.1102e-15
0.005,2.0642e-08,6.2767e-09,-3.3176e-09,2.8006e-08,1.802e-08,2.4982e-08,1.2374e-05,3.7619e-06,-1.9929e-06,1.6795e-05,1.0808e-05,1.4984e-05,0.0049407,0.0015014,-0.00079904,0.0067115,0.0043201,0.0059898
0.01,1.6469e-07,5.0047e-08,-2.6635e-08,2.2372e-07,1.44e-07,1.9966e-07,4.9317e-05,1.4981e-05,-8.0092e-06,6.7048e-05,4.317e-05,5.9858e-05,0.0098275,0.0029828,-0.0016093,0.013383,0.0086214,0.011956
0.015,5.5431e-07,1.6834e-07,-9.0208e-08,7.5392e-07,4.8548e-07,6.7318e-07,0.00011056,3.3556e-05,-1.8105e-05,0.00015056,9.699e-05,0.0001345,0.014661,0.0044441,-0.0024308,0.020014,0.012904,0.017898
0.02,1.3103e-06,3.977e-07,-2.1457e-07,1.7844e-06,1.1495e-06,1.5941e-06,0.00019583,5.9389e-05,-3.2335e-05,0.00026712,0.00017217,0.0002388,0.01944,0.0058856,-0.0032633,0.026605,0.017167,0.023817
0.025,2.5523e-06,7.7416e-07,-4.2055e-07,3.4799e-06,2.2427e-06,3.1104e-06,0.00030488,9.2379e-05,-5.0756e-05,0.00041654,0.00026863,0.00037263,0.024167,0.0073072,-0.0041068,0.033157,0.021411,0.029711
0.03,4.3983e-06,1.3333e-06,-7.2921e-07,6.0043e-06,3.8711e-06,5.3694e-06,0.00043741,0.00013243,-7.3421e-05,0.00059862,0.00038625,0.00053587,0.02884,0.008709,-0.0049612,0.039668,0.025636,0.035582
0.035,6.9651e-06,2.11e-06,-1.1619e-06,9.5202e-06,6.1403e-06,8.518e-06,0.00059319,0.00017944,-0.00010039,0.00081316,0.00052496,0.00072841,0.03346,0.010091,-0.0058263,0.04614,0.029842,0.041429
0.04,1.0368e-05,3.139e-06,-1.7403e-06,1.419e-05,9.1556e-06,1.2702e-05,0.00077193,0.0002333,-0.0001317,0.00106,0.00068464,0.00095013,0.038028,0.011453,-0.0067021,0.052571,0.034029,0.047253
0.045,1.4722e-05,4.4544e-06,-2.4863e-06,2.0173e-05,1.3022e-05,1.8068e-05,0.00097337,0.00029394,-0.00016742,0.0013388,0.00086521,0.0012009,0.042542,0.012796,-0.0075886,0.058963,0.038196,0.053052
0.05,2.014e-05,6.0895e-06,-3.422e-06,2.7631e-05,1.7842e-05,2.4759e-05,0.0011973,0.00036123,-0.00020761,0.0016495,0.0010666,0.0014806,0.047005,0.014119,-0.0084855,0.065315,0.042344,0.058827
0.055,2.6732e-05,8.0776e-06,-4.5699e-06,3.6721e-05,2.3722e-05,3.2922e-05,0.0014433,0.0004351,-0.0002523,0.0019919,0.0012886,0.0017891,0.051415,0.015423,-0.0093929,0.071628,0.046473,0.064579
0.06,3.4609e-05,1.0451e-05,-5.9526e-06,4.7602e-05,3.0763e-05,4.2699e-05,0.0017113,0.00051543,-0.00030155,0.0023657,0.0015313,0.0021264,0.055772,0.016707,-0.010311,0.077901,0.050582,0.070306
0.065,4.3881e-05,1.3243e-05,-7.5931e-06,6.0431e-05,3.9069e-05,5.4233e-05,0.002001,0.00060214,-0.00035542,0.0027708,0.0017944,0.0024922,0.060078,0.017972,-0.011238,0.084134,0.054671,0.07601
0.07,5.4655e-05,1.6483e-05,-9.5146e-06,7.5362e-05,4.8741e-05,6.7668e-05,0.002312,0.00069513,-0.00041395,0.003207,0.0020779,0.0028864,0.064332,0.019218,-0.012177,0.090328,0.058742,0.081689
0.075,6.7037e-05,2.0204e-05,-1.174e-05,9.2552e-05,5.9882e-05,8.3144e-05,0.0026442,0.00079429,-0.0004772,0.003674,0.0023818,0.003309,0.068535,0.020444,-0.013125,0.096482,0.062792,0.087344
0.08,8.1132e-05,2.4436e-05,-1.4295e-05,0.00011215,7.2593e-05,0.0001008,0.0029973,0.00089954,-0.00054522,0.0041718,0.0027058,0.0037598,0.072686,0.021652,-0.014083,0.1026,0.066823,0.092976
0.085,9.7044e-05,2.921e-05,-1.7201e-05,0.00013432,8.6974e-05,0.00012079,0.003371,0.0010108,-0.00061804,0.0046999,0.00305,0.0042387,0.076785,0.02284,-0.01505,0.10867,0.070834,0.098583
0.09,0.00011488,3.4554e-05,-2.0483e-05,0.0001592,0.00010313,0.00014324,0.003765,0.0011279,-0.00069574,0.0052584,0.0034141,0.0047456,0.080834,0.024009,-0.016028,0.11471,0.074825,0.10417
0.095,0.00013473,4.0498e-05,-2.4166e-05,0.00018695,0.00012115,0.00016829,0.0041792,0.0012508,-0.00077834,0.005847,0.0037982,0.0052803,0.084831,0.025159,-0.017015,0.12071,0.078797,0.10972
0.1,0.0001567,4.7072e-05,-2.8275e-05,0.00021772,0.00014114,0.00019609,0.0046133,0.0013795,-0.00086591,0.0064654,0.0042021,0.0058428,0.088778,0.02629,-0.018012,0.12666,0.082748,0.11526
0.105,0.00018089,5.4302e-05,-3.2834e-05,0.00025166,0.0001632,0.00022677,0.0050669,0.0015137,-0.00095848,0.0071135,0.0046256,0.0064329,0.092674,0.027402,-0.019019,0.13258,0.08668,0.12077
0.11,0.0002074,6.2218e-05,-3.7868e-05,0.00028891,0.00018743,0.00026046,0.0055399,0.0016535,-0.0010561,0.0077912,0.0050688,0.0070505,0.09652,0.028496,-0.020034,0.13846,0.090591,0.12626
0.115,0.00023632,7.0846e-05,-4.3403e-05,0.00032962,0.00021392,0.00029732,0.006032,0.0017986,-0.0011588,0.0084981,0.0055315,0.0076954,0.10032,0.029571,-0.021059,0.1443,0.094483,0.13172
0.12,0.00026775,8.0213e-05,-4.9465e-05,0.00037394,0.00024278,0.00033746,0.006543,0.0019491,-0.0012667,0.0092341,0.0060136,0.0083676,0.10406,0.030627,-0.022094,0.1501,0.098355,0.13716
0.125,0.00030179,9.0346e-05,-5.6079e-05,0.00042201,0.00027409,0.00038104,0.0070726,0.0021049,-0.0013798,0.0099991,0.006515,0.0090669,0.10776,0.031664,-0.023137,0.15587,0.10221,0.14257
0.13,0.00033851,0.00010127,-6.3272e-05,0.00047398,0.00030796,0.00042818,0.0076205,0.0022657,-0.0014981,0.010793,0.0070357,0.0097933,0.1114,0.032683,-0.024189,0.16159,0.10604,0.14796
0.135,0.00037802,0.00011301,-7.1069e-05,0.00052998,0.00034448,0.00047901,0.0081865,0.0024317,-0.0016217,0.011615,0.0075754,0.010546,0.115,0.033684,-0.025251,0.16728,0.10985,0.15332
0.14,0.00042041,0.0001256,-7.9498e-05,0.00059017,0.00038375,0.00053369,0.0087704,0.0026026,-0.0017506,0.012465,0.0081341,0.011326,0.11855,0.034666,-0.026321,0.17292,0.11364,0.15866
0.145,0.00046575,0.00013905,-8.8584e-05,0.00065469,0.00042585,0.00059232,0.0093719,0.0027783,-0.0018849,0.013344,0.0087117,0.012133,0.12204,0.03563,-0.0274,0.17853,0.11741,0.16398
0.15,0.00051415,0.00015339,-9.8356e-05,0.00072366,0.00047089,0.00065506,0.0099907,0.0029588,-0.0020246,0.014251,0.0093082,0.012966,0.12549,0.036575,-0.028487,0.1841,0.12116,0.16927
0.155,0.00056569,0.00016864,-0.00010884,0.00079724,0.00051896,0.00072203,0.010627,0.003144,-0.0021698,0.015185,0.0099233,0.013826,0.12889,0.037503,-0.029583,0.18963,0.12489,0.17454
0.16,0.00062045,0.00018483,-0.00012006,0.00087556,0.00057016,0.00079336,0.01128,0.0033338,-0.0023205,0.016147,0.010557,0.014712,0.13224,0.038412,-0.030688,0.19512,0.1286,0.17978
0.165,0.00067851,0.00020199,-0.00013205,0.00095875,0.00062457,0.00086919,0.011949,0.0035281,-0.0024767,0.017136,0.011209,0.015623,0.13554,0.039303,-0.031801,0.20058,0.13229,0.185
0.17,0.00073997,0.00022012,-0.00014484,0.001047,0.00068228,0.00094964,0.012635,0.0037268,-0.0026385,0.018153,0.01188,0.016561,0.1388,0.040176,-0.032922,0.20599,0.13595,0.19019
0.175,0.00080489,0.00023926,-0.00015845,0.0011403,0.00074339,0.0010348,0.013337,0.0039298,-0.0028059,0.019196,0.012569,0.017525,0.142,0.041031,-0.034051,0.21137,0.1396,0.19536
0.18,0.00087336,0.00025943,-0.00017291,0.001239,0.000808,0.0011249,0.014055,0.0041371,-0.002979,0.020266,0.013276,0.018515,0.14516,0.041868,-0.035189,0.21671,0.14323,0.20051
0.185,0.00094546,0.00028064,-0.00018825,0.001343,0.00087618,0.00122,0.014788,0.0043485,-0.0031578,0.021363,0.014001,0.01953,0.14827,0.042687,-0.036334,0.22201,0.14684,0.20563
0.19,0.0010213,0.00030292,-0.0002045,0.0014526,0.00094804,0.0013203,0.015538,0.0045639,-0.0033424,0.022486,0.014744,0.020571,0.15134,0.043489,-0.037488,0.22727,0.15042,0.21072
